Country/Region,Province/State,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
China,Hubei,2020-03-13T11:09:03,67786,3062,51553,30.9756,112.2707
China,Guangdong,2020-03-13T11:09:03,1356,8,1296,23.3417,113.4244
China,Henan,2020-03-11T08:13:09,1273,22,1249,33.882,113.614
China,Zhejiang,2020-03-12T01:33:02,1215,1,1197,29.1832,120.0934
China,Hunan,2020-03-13T11:09:03,1018,4,1005,27.6104,111.7088
China,Anhui,2020-03-11T02:18:14,990,6,984,31.8257,117.2264
China,Jiangxi,2020-03-12T02:13:04,935,1,934,27.614,115.7221
China,Shandong,2020-03-13T11:09:03,760,7,739,36.3427,118.1498
China,Jiangsu,2020-03-13T11:09:03,631,0,630,32.9711,119.455
China,Chongqing,2020-03-13T23:13:12,576,6,566,30.0572,107.874
China,Sichuan,2020-03-13T11:09:03,539,3,503,30.6171,102.7103
China,Heilongjiang,2020-03-13T11:09:03,482,13,446,47.862,127.7615
China,Beijing,2020-03-13T11:09:03,436,8,342,40.1824,116.4142
China,Shanghai,2020-03-13T11:09:03,346,3,324,31.202,121.4491
China,Hebei,2020-03-13T11:09:03,318,6,310,38.0428,114.5149
China,Fujian,2020-03-11T02:18:14,296,1,295,26.0789,117.9874
China,Guangxi,2020-03-13T11:09:03,252,2,243,23.8298,108.7881
China,Shaanxi,2020-03-12T01:33:02,245,2,232,35.1917,108.8701
China,Yunnan,2020-03-11T02:18:14,174,2,170,24.974,101.487
China,Hainan,2020-03-12T03:53:02,168,6,160,19.1959,109.7453
China,Guizhou,2020-03-13T11:09:03,146,2,140,26.8154,106.8748
China,Tianjin,2020-03-12T01:53:03,136,3,132,39.3054,117.323
China,Hong Kong,2020-03-13T13:33:03,134,4,77,22.3,114.2
China,Shanxi,2020-03-13T11:09:03,133,0,133,37.5777,112.2922
China,Gansu,2020-03-13T11:09:03,127,2,88,36.0611,103.8343
China,Liaoning,2020-03-12T09:53:06,125,1,112,41.2956,122.6085
China,Xinjiang,2020-03-11T02:18:14,76,3,73,41.1129,85.2401
China,Inner Mongolia,2020-03-11T03:53:03,75,1,71,44.0935,113.9448
China,Ningxia,2020-03-11T09:33:12,75,0,72,37.2692,106.1655
China,Jilin,2020-03-13T11:09:03,93,1,91,43.6661,126.1923
